"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"21","America’s police officers have earned the everlasting gratitude of our Nation. In moments of danger &amp; despair you a… https://t.co/movE69yT0F",FALSE,68969,NA,2018-10-08 18:57:07,TRUE,NA,"1049373138130280449",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15790,FALSE,FALSE,NA,NA
"22","It was my great honor to address the International Association of Chiefs of Police Annual Convention in Orlando, Fl… https://t.co/FjZmjHo9CT",FALSE,43221,NA,2018-10-08 18:32:51,TRUE,NA,"1049367031433383936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9363,FALSE,FALSE,NA,NA
"23","Departing Washington, D.C. for the International Association of Chiefs of Police Annual Convention in Orlando, Flor… https://t.co/HNDU0DuCnA",FALSE,41982,NA,2018-10-08 15:31:51,TRUE,NA,"1049321480780099584",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8173,FALSE,FALSE,NA,NA
"24","Christopher Columbus’s spirit of determination &amp; adventure has provided inspiration to generations of Americans. On… https://t.co/tIXXwhxDci",FALSE,74817,NA,2018-10-08 13:36:11,TRUE,NA,"1049292375330361345",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19031,FALSE,FALSE,NA,NA
"25",".@SecPompeo had a good meeting with Chairman Kim today in Pyongyang. Progress made on Singapore Summit Agreements!… https://t.co/kzwV5wAVSq",FALSE,86278,NA,2018-10-07 14:42:25,TRUE,NA,"1048946652621541377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19662,FALSE,FALSE,NA,NA
"26","You don’t hand matches to an arsonist, and you don’t give power to an angry left-wing mob. Democrats have become to… https://t.co/VB23FlFvOT",FALSE,224496,NA,2018-10-07 01:21:22,TRUE,NA,"1048745061888880640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",66155,FALSE,FALSE,NA,NA
"27","Beautiful evening in Topeka, Kansas. VOTE, VOTE, VOTE! #MAGA https://t.co/bomRqsaYfm",FALSE,68680,NA,2018-10-07 01:15:00,FALSE,NA,"1048743461543763969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15195,FALSE,FALSE,NA,NA
"28","Thank you Kansas - I love you! 
https://t.co/ymCFNr9WQY",FALSE,72459,NA,2018-10-07 00:49:56,FALSE,NA,"1048737154778759168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15376,FALSE,FALSE,NA,NA
"29","The crowd in front of the U.S. Supreme Court is tiny, looks like about 200 people (&amp; most are onlookers) - that wou… https://t.co/K0175DLRAK",FALSE,162018,NA,2018-10-06 21:57:09,TRUE,NA,"1048693669870501889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",37746,FALSE,FALSE,NA,NA
"30","I applaud and congratulate the U.S. Senate for confirming our GREAT NOMINEE, Judge Brett Kavanaugh, to the United S… https://t.co/573HIDggVn",FALSE,261985,NA,2018-10-06 20:15:30,TRUE,NA,"1048668088059584512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",62502,FALSE,FALSE,NA,NA
